Time,Round,Table 1,Table 2,Table 3,Table 4,Table 5,Table 6,Table 7,Table 8
10:05,1,13051,13535,13934,14402,,,,
10:10,1,,,,,14405,14408,14534,15198
10:15,1,15200,16492,16604,16995,,,,
10:20,1,,,,,17380,17547,17978,18958
10:25,1,19210,19498,19714,19739,,,,
10:30,1,,,,,19740,19741,19821,19961
10:35,1,20026,20084,20085,20086,,,,
10:40,1,,,,,20087,20356,20658,20878
10:45,2,13934,13535,14402,13051,,,,
10:50,2,,,,,14534,14408,15198,14405
10:55,2,16604,16492,16995,15200,,,,
11:00,2,,,,,17978,17547,18958,17380
11:05,2,19714,19498,19739,19210,,,,
11:10,2,,,,,19821,19741,19961,19740
11:15,2,20085,20084,20086,20026,,,,
11:20,2,,,,,20658,20356,20878,20087
11:25,3,14402,13934,13051,13535,,,,
11:30,3,,,,,15198,14534,14405,14408
11:35,3,16995,16604,15200,16492,,,,
11:40,3,,,,,18958,17978,17380,17547
11:45,3,19739,19714,19210,19498,,,,
11:50,3,,,,,19961,19821,19740,19741
11:55,3,20086,20085,20026,20084,,,,
12:00,3,,,,,20878,20658,20087,20356
1:00,1,595,2092,2728,2956,,,,
1:05,1,,,,,3483,3484,3485,3486
1:10,1,3655,3656,5291,5445,,,,
1:15,1,,,,,5446,5648,6188,6553
1:20,1,7656,8396,9904,9908,,,,
1:25,1,,,,,10063,10146,10337,11892
1:30,1,12143,12614,12659,13012,,,,
1:35,2,,,,,2728,2092,2956,595
1:40,2,3485,3484,3486,3483,,,,
1:45,2,,,,,5291,3656,5445,3655
1:50,2,6188,5648,6553,5446,,,,
1:55,2,,,,,9904,8396,9908,7656
2:00,2,10337,10146,11892,10063,,,,
2:05,2,,,,,12659,12614,13012,12143
2:10,3,2956,595,2092,2728,,,,
2:15,3,,,,,3486,3483,3484,3485
2:20,3,5445,3655,3656,5291,,,,
2:25,3,,,,,6553,5446,5648,6188
2:30,3,9908,7656,8396,9904,,,,
2:35,3,,,,,11892,10063,10146,10337
2:40,3,13012,12143,12614,12659,,,,
